#,target,auid,jd,mag,uncertainty,fainterthan,band,type,observer,airmass,transformed
2972,WASP-52,000-BLD-637,2459534.777350,12.1694,0.0096,False,Unfiltered with V Zeropoint,CCD,KADB,1.798,False
2973,WASP-52,000-BLD-637,2459534.779350,12.1516,0.0094,False,Unfiltered with V Zeropoint,CCD,KADB,1.827,False
2974,WASP-52,000-BLD-637,2459534.781350,12.1655,0.0098,False,Unfiltered with V Zeropoint,CCD,KADB,1.857,False
2975,WASP-52,000-BLD-637,2459534.783350,12.1645,0.0109,False,Unfiltered with V Zeropoint,CCD,KADB,1.888,False
2976,WASP-52,000-BLD-637,2459534.786340,12.1653,0.0094,False,Unfiltered with V Zeropoint,CCD,KADB,1.937,False
2977,WASP-52,000-BLD-637,2459534.788341,12.1931,0.0098,False,Unfiltered with V Zeropoint,CCD,KADB,1.971,False
2978,WASP-52,000-BLD-637,2459534.790341,12.2088,0.0097,False,Unfiltered with V Zeropoint,CCD,KADB,2.008,False
2979,WASP-52,000-BLD-637,2459534.792341,12.204,0.0098,False,Unfiltered with V Zeropoint,CCD,KADB,2.045,False
2980,WASP-52,000-BLD-637,2459534.795341,12.2247,0.0102,False,Unfiltered with V Zeropoint,CCD,KADB,2.105,False
2981,WASP-52,000-BLD-637,2459548.634342,12.1907,0.0052,False,Unfiltered with V Zeropoint,CCD,KADB,1.134,False
2982,WASP-52,000-BLD-637,2459548.638343,12.1757,0.0057,False,Unfiltered with V Zeropoint,CCD,KADB,1.143,False
2983,WASP-52,000-BLD-637,2459548.639343,12.1888,0.0058,False,Unfiltered with V Zeropoint,CCD,KADB,1.145,False
2984,WASP-52,000-BLD-637,2459548.643343,12.1833,0.0057,False,Unfiltered with V Zeropoint,CCD,KADB,1.155,False
2985,WASP-52,000-BLD-637,2459548.644343,12.1832,0.0057,False,Unfiltered with V Zeropoint,CCD,KADB,1.157,False
2986,WASP-52,000-BLD-637,2459548.646343,12.1904,0.0057,False,Unfiltered with V Zeropoint,CCD,KADB,1.163,False
2987,WASP-52,000-BLD-637,2459548.648344,12.1838,0.0051,False,Unfiltered with V Zeropoint,CCD,KADB,1.168,False
2988,WASP-52,000-BLD-637,2459548.650344,12.1967,0.0051,False,Unfiltered with V Zeropoint,CCD,KADB,1.174,False
2989,WASP-52,000-BLD-637,2459548.654344,12.1873,0.0057,False,Unfiltered with V Zeropoint,CCD,KADB,1.186,False
2990,WASP-52,000-BLD-637,2459548.656344,12.2038,0.0058,False,Unfiltered with V Zeropoint,CCD,KADB,1.193,False
2991,WASP-52,000-BLD-637,2459548.659345,12.1883,0.0051,False,Unfiltered with V Zeropoint,CCD,KADB,1.203,False
2992,WASP-52,000-BLD-637,2459548.661345,12.1792,0.0051,False,Unfiltered with V Zeropoint,CCD,KADB,1.210,False
2993,WASP-52,000-BLD-637,2459548.663345,12.1857,0.0051,False,Unfiltered with V Zeropoint,CCD,KADB,1.217,False
2994,WASP-52,000-BLD-637,2459548.667345,12.1719,0.0051,False,Unfiltered with V Zeropoint,CCD,KADB,1.233,False
2995,WASP-52,000-BLD-637,2459548.671346,12.1801,0.0050,False,Unfiltered with V Zeropoint,CCD,KADB,1.249,False
2996,WASP-52,000-BLD-637,2459548.673346,12.1875,0.0057,False,Unfiltered with V Zeropoint,CCD,KADB,1.258,False
2997,WASP-52,000-BLD-637,2459548.675346,12.1899,0.0051,False,Unfiltered with V Zeropoint,CCD,KADB,1.267,False
2998,WASP-52,000-BLD-637,2459548.677346,12.2104,0.0057,False,Unfiltered with V Zeropoint,CCD,KADB,1.276,False
2999,WASP-52,000-BLD-637,2459548.679347,12.2044,0.0051,False,Unfiltered with V Zeropoint,CCD,KADB,1.286,False
3000,WASP-52,000-BLD-637,2459548.681347,12.2192,0.0051,False,Unfiltered with V Zeropoint,CCD,KADB,1.296,False
3001,WASP-52,000-BLD-637,2459548.683347,12.225,0.0051,False,Unfiltered with V Zeropoint,CCD,KADB,1.306,False
3002,WASP-52,000-BLD-637,2459548.686347,12.2161,0.0057,False,Unfiltered with V Zeropoint,CCD,KADB,1.322,False
3003,WASP-52,000-BLD-637,2459548.688347,12.2195,0.0057,False,Unfiltered with V Zeropoint,CCD,KADB,1.333,False
3004,WASP-52,000-BLD-637,2459548.690348,12.2057,0.0057,False,Unfiltered with V Zeropoint,CCD,KADB,1.345,False
3005,WASP-52,000-BLD-637,2459548.692348,12.2185,0.0051,False,Unfiltered with V Zeropoint,CCD,KADB,1.357,False
3006,WASP-52,000-BLD-637,2459548.694348,12.2154,0.0051,False,Unfiltered with V Zeropoint,CCD,KADB,1.369,False
3007,WASP-52,000-BLD-637,2459548.696348,12.2215,0.0051,False,Unfiltered with V Zeropoint,CCD,KADB,1.382,False
