JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2457270.51475,12.223,0.006,,V,STAC,,120,TYC 1161-1249-1,X15386FZ,,0,,Z,-8.354,-7.940,,WASP-52,AAVSO,STD,0,,,
2457270.51551,12.243,0.006,,V,STAC,,120,TYC 1161-1249-1,X15386FZ,,0,,Z,-8.367,-7.941,,WASP-52,AAVSO,STD,0,,,
2457270.51627,12.234,0.006,,V,STAC,,120,TYC 1161-1249-1,X15386FZ,,0,,Z,-8.350,-7.937,,WASP-52,AAVSO,STD,0,,,
2457270.51705,12.250,0.006,,V,STAC,,120,TYC 1161-1249-1,X15386FZ,,0,,Z,-8.365,-7.947,,WASP-52,AAVSO,STD,0,,,
2457270.51781,12.229,0.006,,V,STAC,,120,TYC 1161-1249-1,X15386FZ,,0,,Z,-8.360,-7.942,,WASP-52,AAVSO,STD,0,,,
2457270.51858,12.239,0.006,,V,STAC,,120,TYC 1161-1249-1,X15386FZ,,0,,Z,-8.367,-7.955,,WASP-52,AAVSO,STD,0,,,
2457270.51935,12.222,0.006,,V,STAC,,120,TYC 1161-1249-1,X15386FZ,,0,,Z,-8.357,-7.941,,WASP-52,AAVSO,STD,0,,,
2457270.52012,12.217,0.006,,V,STAC,,120,TYC 1161-1249-1,X15386FZ,,0,,Z,-8.352,-7.933,,WASP-52,AAVSO,STD,0,,,
2457270.52089,12.218,0.006,,V,STAC,,120,TYC 1161-1249-1,X15386FZ,,0,,Z,-8.360,-7.938,,WASP-52,AAVSO,STD,0,,,
2457270.52166,12.212,0.006,,V,STAC,,120,TYC 1161-1249-1,X15386FZ,,0,,Z,-8.345,-7.941,,WASP-52,AAVSO,STD,0,,,
2457270.52242,12.214,0.006,,V,STAC,,120,TYC 1161-1249-1,X15386FZ,,0,,Z,-8.334,-7.924,,WASP-52,AAVSO,STD,0,,,
2457270.52472,12.210,0.006,,V,STAC,,120,TYC 1161-1249-1,X15386FZ,,0,,Z,-8.328,-7.925,,WASP-52,AAVSO,STD,0,,,
2457270.52550,12.204,0.006,,V,STAC,,120,TYC 1161-1249-1,X15386FZ,,0,,Z,-8.319,-7.922,,WASP-52,AAVSO,STD,0,,,
2457270.52626,12.192,0.006,,V,STAC,,120,TYC 1161-1249-1,X15386FZ,,0,,Z,-8.315,-7.902,,WASP-52,AAVSO,STD,0,,,
2457270.52856,12.204,0.006,,V,STAC,,120,TYC 1161-1249-1,X15386FZ,,0,,Z,-8.282,-7.870,,WASP-52,AAVSO,STD,0,,,
2457270.52934,12.206,0.006,,V,STAC,,120,TYC 1161-1249-1,X15386FZ,,0,,Z,-8.283,-7.867,,WASP-52,AAVSO,STD,0,,,
2457270.53010,12.212,0.006,,V,STAC,,120,TYC 1161-1249-1,X15386FZ,,0,,Z,-8.273,-7.866,,WASP-52,AAVSO,STD,0,,,
2457270.53087,12.218,0.006,,V,STAC,,120,TYC 1161-1249-1,X15386FZ,,0,,Z,-8.262,-7.852,,WASP-52,AAVSO,STD,0,,,
2457270.53164,12.204,0.006,,V,STAC,,120,TYC 1161-1249-1,X15386FZ,,0,,Z,-8.232,-7.811,,WASP-52,AAVSO,STD,0,,,
2457270.53241,12.197,0.006,,V,STAC,,120,TYC 1161-1249-1,X15386FZ,,0,,Z,-8.209,-7.809,,WASP-52,AAVSO,STD,0,,,
2457270.53317,12.187,0.006,,V,STAC,,120,TYC 1161-1249-1,X15386FZ,,0,,Z,-8.168,-7.780,,WASP-52,AAVSO,STD,0,,,
2457270.53395,12.202,0.006,,V,STAC,,120,TYC 1161-1249-1,X15386FZ,,0,,Z,-8.170,-7.753,,WASP-52,AAVSO,STD,0,,,
2457270.53471,12.201,0.006,,V,STAC,,120,TYC 1161-1249-1,X15386FZ,,0,,Z,-8.162,-7.759,,WASP-52,AAVSO,STD,0,,,
2457270.53547,12.214,0.006,,V,STAC,,120,TYC 1161-1249-1,X15386FZ,,0,,Z,-8.220,-7.798,,WASP-52,AAVSO,STD,0,,,
2457270.53625,12.208,0.006,,V,STAC,,120,TYC 1161-1249-1,X15386FZ,,0,,Z,-8.237,-7.823,,WASP-52,AAVSO,STD,0,,,
2457270.53701,12.219,0.006,,V,STAC,,120,TYC 1161-1249-1,X15386FZ,,0,,Z,-8.274,-7.843,,WASP-52,AAVSO,STD,0,,,
2457270.53778,12.204,0.006,,V,STAC,,120,TYC 1161-1249-1,X15386FZ,,0,,Z,-8.293,-7.872,,WASP-52,AAVSO,STD,0,,,
2457270.53855,12.212,0.006,,V,STAC,,120,TYC 1161-1249-1,X15386FZ,,0,,Z,-8.332,-7.929,,WASP-52,AAVSO,STD,0,,,
2457270.53932,12.223,0.006,,V,STAC,,120,TYC 1161-1249-1,X15386FZ,,0,,Z,-8.351,-7.933,,WASP-52,AAVSO,STD,0,,,
2457270.54009,12.203,0.006,,V,STAC,,120,TYC 1161-1249-1,X15386FZ,,0,,Z,-8.346,-7.928,,WASP-52,AAVSO,STD,0,,,
2457270.54086,12.198,0.006,,V,STAC,,120,TYC 1161-1249-1,X15386FZ,,0,,Z,-8.351,-7.947,,WASP-52,AAVSO,STD,0,,,
2457270.54162,12.197,0.006,,V,STAC,,120,TYC 1161-1249-1,X15386FZ,,0,,Z,-8.370,-7.961,,WASP-52,AAVSO,STD,0,,,
2457270.54470,12.196,0.006,,V,STAC,,120,TYC 1161-1249-1,X15386FZ,,0,,Z,-8.367,-7.943,,WASP-52,AAVSO,STD,0,,,
2457270.54546,12.214,0.006,,V,STAC,,120,TYC 1161-1249-1,X15386FZ,,0,,Z,-8.369,-7.946,,WASP-52,AAVSO,STD,0,,,
2457270.54700,12.205,0.006,,V,STAC,,120,TYC 1161-1249-1,X15386FZ,,0,,Z,-8.345,-7.937,,WASP-52,AAVSO,STD,0,,,
2457270.54777,12.196,0.006,,V,STAC,,120,TYC 1161-1249-1,X15386FZ,,0,,Z,-8.313,-7.914,,WASP-52,AAVSO,STD,0,,,
2457270.54853,12.208,0.006,,V,STAC,,120,TYC 1161-1249-1,X15386FZ,,0,,Z,-8.338,-7.931,,WASP-52,AAVSO,STD,0,,,
2457270.54931,12.209,0.006,,V,STAC,,120,TYC 1161-1249-1,X15386FZ,,0,,Z,-8.344,-7.924,,WASP-52,AAVSO,STD,0,,,
2457284.39356,12.220,0.006,,V,STAC,,120,TYC 1161-1249-1,X15386FZ,,0,,Z,-8.487,-8.058,,WASP-52,AAVSO,STD,0,,,
2457284.39410,12.199,0.006,,V,STAC,,120,TYC 1161-1249-1,X15386FZ,,0,,Z,-8.432,-8.015,,WASP-52,AAVSO,STD,0,,,
2457284.39464,12.205,0.007,,V,STAC,,120,TYC 1161-1249-1,X15386FZ,,0,,Z,-8.339,-7.912,,WASP-52,AAVSO,STD,0,,,
2457284.39517,12.174,0.007,,V,STAC,,120,TYC 1161-1249-1,X15386FZ,,0,,Z,-8.186,-7.792,,WASP-52,AAVSO,STD,0,,,
2457284.39572,12.180,0.008,,V,STAC,,120,TYC 1161-1249-1,X15386FZ,,0,,Z,-8.151,-7.749,,WASP-52,AAVSO,STD,0,,,
2457284.39625,12.188,0.008,,V,STAC,,120,TYC 1161-1249-1,X15386FZ,,0,,Z,-8.129,-7.731,,WASP-52,AAVSO,STD,0,,,
2457284.39678,12.204,0.007,,V,STAC,,120,TYC 1161-1249-1,X15386FZ,,0,,Z,-8.310,-7.917,,WASP-52,AAVSO,STD,0,,,
2457284.39733,12.190,0.006,,V,STAC,,120,TYC 1161-1249-1,X15386FZ,,0,,Z,-8.361,-7.980,,WASP-52,AAVSO,STD,0,,,
2457284.39786,12.182,0.006,,V,STAC,,120,TYC 1161-1249-1,X15386FZ,,0,,Z,-8.424,-8.036,,WASP-52,AAVSO,STD,0,,,
2457284.39839,12.183,0.006,,V,STAC,,120,TYC 1161-1249-1,X15386FZ,,0,,Z,-8.476,-8.082,,WASP-52,AAVSO,STD,0,,,
2457284.39894,12.173,0.006,,V,STAC,,120,TYC 1161-1249-1,X15386FZ,,0,,Z,-8.493,-8.078,,WASP-52,AAVSO,STD,0,,,
2457284.39947,12.195,0.006,,V,STAC,,120,TYC 1161-1249-1,X15386FZ,,0,,Z,-8.492,-8.081,,WASP-52,AAVSO,STD,0,,,
2457284.40001,12.209,0.006,,V,STAC,,120,TYC 1161-1249-1,X15386FZ,,0,,Z,-8.495,-8.074,,WASP-52,AAVSO,STD,0,,,
2457284.40054,12.194,0.006,,V,STAC,,120,TYC 1161-1249-1,X15386FZ,,0,,Z,-8.489,-8.096,,WASP-52,AAVSO,STD,0,,,
2457284.40162,12.188,0.006,,V,STAC,,120,TYC 1161-1249-1,X15386FZ,,0,,Z,-8.487,-8.097,,WASP-52,AAVSO,STD,0,,,
2457284.40215,12.200,0.006,,V,STAC,,120,TYC 1161-1249-1,X15386FZ,,0,,Z,-8.494,-8.074,,WASP-52,AAVSO,STD,0,,,
2457284.40270,12.173,0.006,,V,STAC,,120,TYC 1161-1249-1,X15386FZ,,0,,Z,-8.491,-8.077,,WASP-52,AAVSO,STD,0,,,
2457284.40323,12.170,0.006,,V,STAC,,120,TYC 1161-1249-1,X15386FZ,,0,,Z,-8.483,-8.094,,WASP-52,AAVSO,STD,0,,,
2457284.40377,12.205,0.006,,V,STAC,,120,TYC 1161-1249-1,X15386FZ,,0,,Z,-8.496,-8.091,,WASP-52,AAVSO,STD,0,,,
2457284.40431,12.214,0.006,,V,STAC,,120,TYC 1161-1249-1,X15386FZ,,0,,Z,-8.503,-8.081,,WASP-52,AAVSO,STD,0,,,
2457284.40484,12.176,0.006,,V,STAC,,120,TYC 1161-1249-1,X15386FZ,,0,,Z,-8.490,-8.097,,WASP-52,AAVSO,STD,0,,,
2457284.40538,12.192,0.006,,V,STAC,,120,TYC 1161-1249-1,X15386FZ,,0,,Z,-8.504,-8.104,,WASP-52,AAVSO,STD,0,,,
2457284.40591,12.178,0.006,,V,STAC,,120,TYC 1161-1249-1,X15386FZ,,0,,Z,-8.487,-8.098,,WASP-52,AAVSO,STD,0,,,
2457284.40646,12.209,0.006,,V,STAC,,120,TYC 1161-1249-1,X15386FZ,,0,,Z,-8.515,-8.110,,WASP-52,AAVSO,STD,0,,,
2457284.40699,12.196,0.006,,V,STAC,,120,TYC 1161-1249-1,X15386FZ,,0,,Z,-8.511,-8.093,,WASP-52,AAVSO,STD,0,,,
2457284.40752,12.215,0.006,,V,STAC,,120,TYC 1161-1249-1,X15386FZ,,0,,Z,-8.503,-8.101,,WASP-52,AAVSO,STD,0,,,
2457284.40807,12.173,0.006,,V,STAC,,120,TYC 1161-1249-1,X15386FZ,,0,,Z,-8.483,-8.100,,WASP-52,AAVSO,STD,0,,,
2457284.40860,12.196,0.006,,V,STAC,,120,TYC 1161-1249-1,X15386FZ,,0,,Z,-8.510,-8.097,,WASP-52,AAVSO,STD,0,,,
2457284.40913,12.190,0.006,,V,STAC,,120,TYC 1161-1249-1,X15386FZ,,0,,Z,-8.506,-8.088,,WASP-52,AAVSO,STD,0,,,
2457284.40968,12.199,0.006,,V,STAC,,120,TYC 1161-1249-1,X15386FZ,,0,,Z,-8.500,-8.089,,WASP-52,AAVSO,STD,0,,,
2457284.41021,12.183,0.006,,V,STAC,,120,TYC 1161-1249-1,X15386FZ,,0,,Z,-8.486,-8.078,,WASP-52,AAVSO,STD,0,,,
2457284.41075,12.188,0.006,,V,STAC,,120,TYC 1161-1249-1,X15386FZ,,0,,Z,-8.488,-8.105,,WASP-52,AAVSO,STD,0,,,
2457284.41128,12.190,0.006,,V,STAC,,120,TYC 1161-1249-1,X15386FZ,,0,,Z,-8.492,-8.082,,WASP-52,AAVSO,STD,0,,,
2457284.41182,12.188,0.006,,V,STAC,,120,TYC 1161-1249-1,X15386FZ,,0,,Z,-8.492,-8.091,,WASP-52,AAVSO,STD,0,,,
2457284.41236,12.194,0.006,,V,STAC,,120,TYC 1161-1249-1,X15386FZ,,0,,Z,-8.500,-8.090,,WASP-52,AAVSO,STD,0,,,
2457284.41289,12.208,0.006,,V,STAC,,120,TYC 1161-1249-1,X15386FZ,,0,,Z,-8.497,-8.078,,WASP-52,AAVSO,STD,0,,,
2457284.41343,12.202,0.006,,V,STAC,,120,TYC 1161-1249-1,X15386FZ,,0,,Z,-8.484,-8.062,,WASP-52,AAVSO,STD,0,,,
2457284.41397,12.195,0.006,,V,STAC,,120,TYC 1161-1249-1,X15386FZ,,0,,Z,-8.486,-8.063,,WASP-52,AAVSO,STD,0,,,
2457284.41450,12.182,0.006,,V,STAC,,120,TYC 1161-1249-1,X15386FZ,,0,,Z,-8.481,-8.084,,WASP-52,AAVSO,STD,0,,,
2457284.41505,12.193,0.006,,V,STAC,,120,TYC 1161-1249-1,X15386FZ,,0,,Z,-8.478,-8.088,,WASP-52,AAVSO,STD,0,,,
2457284.41558,12.199,0.006,,V,STAC,,120,TYC 1161-1249-1,X15386FZ,,0,,Z,-8.469,-8.065,,WASP-52,AAVSO,STD,0,,,
